index,sub_index,item_type,brand,product,film_format,film_speed_iso,process,expiry_date,date_added,md5,uuid,filename,author
19,0,film_box_outside,Polaroid,PolaBlue,35mm,12,Instant,199208,1736023839,859db4fa936272430f29a27d3d3cb689,8236180d686f4e9ca4aa8e6fc397df66,00019_000.jpg,dekuNukem
20,0,film_box_outside,Polaroid,669,Pack Film,80,Instant,200603,1736023886,b0cd45b17c81925263d5d7993a2202a4,bb62de3a22c04f699c780aeae7c83566,00020_000.jpg,dekuNukem
21,0,film_box_outside,Kodak,Gold,35mm,200,C-41,202611,1736023928,5f33dbc02c379946e4359cc9eb88a597,e8aefc10fa0d43cebbac73bdcf10933f,00021_000.jpg,dekuNukem
22,0,film_box_outside,Fujifilm,Pro 400H,120,400,C-41,201809,1736023971,49a08247ec78404771de7e39ebb6c7a9,0d89ecf11f3c46deb52171aa909566e3,00022_000.jpg,dekuNukem
23,0,film_box_outside,Fujifilm,Velvia 100F,120,100,E-6,200604,1736024062,8213c32039517c81dada2b71e2aa9700,0fef128c3b17437eb25d5c4f0520f7fb,00023_000.jpg,dekuNukem
24,0,film_box_outside,Kodak,Kodacolor-X,126,80,C-22,197505,1736024127,1590b8adf1455a9ffebc900f7ac7d11a,5a3d2ba8ff7649c9b3450d7069445302,00024_000.jpg,dekuNukem
25,0,film_box_outside,Kodak,Ektachrome,110,64,Unknown,197910,1736024383,1ae62f8e86e136b5c71afe68b8defa69,8131d8c6fbf14016be9c17a2586b07c0,00025_000.jpg,dekuNukem
26,0,film_box_outside,Kodak,Kodachrome,110,64,K-14,197910,1736024463,0d0fd5d7580c1e347aaa9649dd41c3b4,68c945b76fc14ab699b944a3c7b93145,00026_000.jpg,dekuNukem
26,1,film_box_processing_envelope,Kodak,Kodachrome,110,64,K-14,197910,1736024466,ba7da15cc1e73579c1cc489743d458dd,54ea8372830b463391dec9cc43789bdf,00026_001.jpg,dekuNukem
26,2,film_box_processing_envelope,Kodak,Kodachrome,110,64,K-14,197910,1736024471,a364807333abda8ca31975605de722a0,045746d5a421440487c431bf74ad0091,00026_002.jpg,dekuNukem
27,0,film_box_outside,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024519,fb2fd29fa9a4c0515aa5d2630213c8bc,7456456d09c844c8ab046abd9c17c3f8,00027_000.jpg,dekuNukem
27,1,film_box_inside,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024573,01fe05b44c890447bd550e9755d38147,e9e4b4c649dc4b62aecc7bc004a1a6ff,00027_001.jpg,dekuNukem
27,2,film_box_leaflet,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024586,15167b9ca91f10e70ea76d1dab7cf407,c13296cf46f04c1dba4ef93110f3ca71,00027_002.jpg,dekuNukem
27,3,film_box_leaflet,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024592,3f90912ae1dcdc4af530b6c5d2e7d3ea,53e024b9a272410888a6d44549f7ceb0,00027_003.jpg,dekuNukem
